name;ra;dec;GAL_LONG;GAL_LAT;flux;fluxerr;velcenter;velerr;w50max;velerr;w20max;velerr;DLG;MHI;a
J1925+2159;19:25:22;21:59:58;56,3;2,8;2.1;0,4;9942;8;182;16;244;23;143,1;10,0;a
J1937+2317;19:37:10;23:17:10;58,7;1,0;2.1;0,4;7147;5;168;9;189;14;103,9;9,7;a
J1958+1254;19:58:46;12:54:07;52,3;-8,6;2.1;0,5;6882;5;251;9;260;14;95,7;9,6;a
J2004+2727;20:04:10;27:27:56;65,4;-2,1;2.1;0,4;4336;7;194;14;239;21;60,9;9,3;a
J2029+2233;20:29:53;22:33:16;64,5;-9,6;2.1;0,4;7236;10;384;21;446;31;99,2;9,7;a
J2044+2214;20:44:52;22:14:47;66,4;-12,6;2.1;0,4;4412;7;161;13;192;20;61,4;9,3;a
J2050+2538;20:50:30;25:38:06;69,9;-11,6;2.1;0,5;2371;4;141;9;158;13;35,6;8,8;a
J1817+0622;18:17:51;06:22:19;34,8;10,4;2.1*;0,9;6053;10;158;20;181;30;87,2;9,6;a
J2033+3235;20:33:21;32:35:14;73,2;-4,4;2.1*;0,6;3246;7;55;15;104;22;47,4;9,0;a
J1839+2343;18:39:48;23:43:08;53,2;13,0;2.2;0,5;4763;7;170;13;212;20;69,0;9,4;a
J1842+2453;18:42:15;24:53:41;54,5;13,0;2.2;0,4;3364;4;164;9;188;13;44,6;9,0;a
J1856+2513;18:56:41;25:13:58;56,2;10,1;2.2;0,4;4400;5;244;10;260;15;64,0;9,3;a
J1927+1219;19:27:32;12:19:55;48,0;-2,2;2.2;0,5;8601;6;168;12;191;18;124,9;9,9;a
J1937+0921;19:37:45;09:21:10;46,6;-5,9;2.2;0,3;3150;4;74;8;106;11;47,0;9,1;a
J1940+1241;19:40:55;12:41:44;49,9;-4,9;2.2;0,4;6921;5;239;11;260;16;98,6;9,7;a
J1945+1432;19:45:46;14:32:54;52,1;-5,0;2.2;0,4;7316;3;213;6;224;9;105,8;9,8;a
J1945+1952;19:45:54;19:52:18;56,8;-2,4;2.2;0,4;4494;4;88;8;112;13;63,6;9,3;a
J1956+1243;19:56:05;12:43:42;51,8;-8,1;2.2;0,4;6961;6;219;11;248;17;98,3;9,7;a
J2000+1129;20:00:15;11:29:50;51,2;-9,6;2.2;0,4;7276;5;151;11;186;16;100,5;9,7;a
J1817+1257;18:17:21;12:57:04;40,8;13,3;2.3;0,4;2887;2;217;5;223;7;41,3;9,0;a
J1823+1450;18:23:59;14:50:37;43,3;12,7;2.3;0,4;2935;5;158;10;180;16;39,2;8,9;a
J1849+2314;18:49:55;23:14:53;53,7;10,7;2.3;0,4;4211;5;175;10;198;15;60,5;9,3;a
J1905+2842;19:05:25;28:42:32;60,2;9,9;2.3;0,4;7150;3;161;6;173;10;104,1;9,8;a
J1942+2246;19:42:27;22:46:24;58,9;-0,3;2.3;0,4;4571;5;181;11;219;16;68,4;9,4;a
J1957+2633;19:57:37;26:33:21;63,9;-1,3;2.3;0,5;4405;6;202;12;226;17;63,9;9,3;a
J2015+1241;20:15:48;12:41:22;54,3;-12,3;2.3;0,3;1951;2;53;5;73;7;24,8;8,5;a
J1828+0242;18:28:34;02:42:40;32,7;6,3;2.3*;0,8;6611;11;73;21;121;32;98,6;9,7;a
J2024+3014;20:24:45;30:14:00;70,2;-4,3;2.3*;0,9;4205;23;147;47;247;70;58,5;9,3;a
J2137+3217;21:37:26;32:17:23;82,0;-14,8;2.3*;1,0;4272;20;165;39;242;59;60,2;9,3;a
J1815+1347;18:15:57;13:47:13;41,5;14,0;2.4;0,4;3008;6;126;12;181;19;42,6;9,0;a
J1843+2410;18:43:18;24:10:56;53,9;12,4;2.4;0,3;4006;3;134;7;157;10;55,1;9,2;a
J2000+2201;20:00:07;22:01:23;60,3;-4,2;2.4;0,4;4460;6;246;12;280;19;65,0;9,4;a
J1754+0612;17:54:20;06:12:15;32,0;15,5;2.4*;1,0;2925;13;109;27;155;40;39,5;8,9;a
J1906+0734;19:06:45;07:34:44;41,4;0,1;2.4*;0,9;3069;10;148;21;191;31;41,5;9,0;a
J1940+2922;19:40:29;29:22:12;64,4;3,4;2.4*;0,9;7652;11;91;22;136;33;105,1;9,8;a
J2012+3215;20:12:48;32:15:36;70,5;-1,0;2.4*;1,0;4279;7;268;13;281;20;63,2;9,4;a
J1839+2210;18:39:10;22:10:53;51,7;12,5;2.5;0,5;4894;8;184;16;236;24;74,1;9,5;a
J1843+2455;18:43:21;24:55:22;54,6;12,7;2.5;0,4;3466;2;166;5;173;7;45,6;9,1;a
J1914+1247;19:14:25;12:47:01;46,9;0,8;2.5;0,4;4637;7;229;14;270;21;66,9;9,4;a
J2003+1344;20:03:51;13:44:54;53,6;-9,2;2.5;0,5;7348;6;253;12;278;17;106,0;9,8;a
J1848+1655;18:48:36;16:55:43;47,8;8,2;2.6;0,4;4897;3;158;6;167;8;71,0;9,5;a
J1915+2254;19:15:21;22:54:50;56,0;5,3;2.6;0,5;7902;7;400;14;442;21;111,7;9,9;a
J2017+1614;20:17:29;16:14:14;57,6;-10,7;2.6;0,4;4361;3;297;5;303;8;61,3;9,4;a
J2020+1453;20:20:19;14:53:10;56,8;-12,0;2.6;0,5;7118;4;256;8;269;12;102,5;9,8;a
J2051+2454;20:51:15;24:54:16;69,4;-12,2;2.6;0,5;10742;6;229;12;255;17;154,6;10,2;a
J2057+2538;20:57:48;25:38:12;71,0;-12,9;2.6;0,4;4767;4;249;8;265;12;72,0;9,5;a
J1852+3349;18:52:31;33:49:47;63,8;14,5;2.6*;1,0;2953;10;175;21;206;31;40,9;9,0;a
J2008+3156;20:08:51;31:56:19;69,7;-0,5;2.6*;0,9;4094;13;132;25;182;38;60,7;9,4;a
J2128+3150;21:28:50;31:50:15;80,4;-13,8;2.6*;0,8;4571;5;78;9;91;14;64,0;9,4;a
J1816+1423;18:16:53;14:23:26;42,1;14,1;2.7;0,5;5343;7;155;13;198;20;76,0;9,6;a
J1827+0929;18:27:28;09:29:24;38,7;9,6;2.7;0,4;3910;6;191;12;227;17;52,2;9,2;a
J1842+2136;18:42:58;21:36:15;51,5;11,4;2.7;0,3;4399;5;225;9;258;14;64,6;9,4;a
J1845+2135;18:45:25;21:35:40;51,7;10,9;2.7;0,4;3325;3;226;6;234;8;47,2;9,2;a
J1851+2633;18:51:42;26:33:28;56,9;11,7;2.7;0,4;4544;4;288;8;306;12;66,0;9,4;a
J1923+2017;19:23:37;20:17:27;54,6;2,4;2.7;0,7;3240;8;247;16;270;24;49,1;9,2;a
J1933+1336;19:33:34;13:36:28;49,8;-2,9;2.7;0,5;4886;6;291;11;317;17;71,5;9,5;a
J2002+0746;20:02:27;07:46:11;48,2;-12,0;2.7*;0,7;5605;5;121;10;138;15;76,9;9,6;a
J1840+2304;18:40:57;23:04:52;52,7;12,5;2.8;0,4;4110;4;244;9;266;13;61,6;9,4;a
J1859+1316;18:59:17;13:16:39;45,7;4,3;2.8;0,5;7280;4;340;9;356;13;102,3;9,8;a
