tabla,velcenter
SoFiA,880.443869917872
SoFiA,925.640502577888
SoFiA,896.73356875369
SoFiA,913.618460006124
SoFiA,887.575625860611
SoFiA,806.420506667087
SoFiA,898.814631600542
SoFiA,832.49077876089
SoFiA,808.987010137465
SoFiA,749.17439348705
SoFiA,724.507677978616
SoFiA,706.111588959061
SoFiA,529.45341423023
SoFiA,712.350556276842
SoFiA,586.161321501601
SoFiA,257.783956423797
SoFiA,320.946113376456
SoFiA,443.002771017653
SoFiA,295.065796309242
SoFiA,421.202265799308
SoFiA,215.369109597631
SoFiA,358.958224808526
SoFiA,256.568244253646
SoFiA,353.527621659463
SoFiA,281.692962437284
SoFiA,257.594001397209
SoFiA,250.192087194418
SoFiA,246.084837397259
SoFiA,406.856440068962
SoFiA,414.365995453473
SoFiA,236.954332452503
SoFiA,157.850727546138
SoFiA,419.526440342517
SoFiA,175.033215006914
SoFiA,83.0717654118097
SoFiA,123.405549391123
SoFiA,-101.501202091626
SoFiA,-333.702226595414
SoFiA,-709.762524570147
SoFiA,-783.838653106073
SoFiA,-881.365784980282
SoFiA,-1127.29211546088
SoFiA,-1426.78787405137
SoFiA,11564.8780203163
SoFiA,11567.9046370733
SoFiA,11578.9009225014
SoFiA,11580.6295132434
SoFiA,11586.4906811194
SoFiA,11612.1303884863
SoFiA,11614.7496572418
SoFiA,11488.2881535951
SoFiA,11617.3161607122
SoFiA,11687.6649495041
SoFiA,11705.387753485
SoFiA,11654.8681588576
SoFiA,11705.387753485
SoFiA,11706.7659827335
SoFiA,11615.8851661785
SoFiA,11697.4180848138
SoFiA,11634.0385348863
SoFiA,11553.5588113429
SoFiA,11510.9286821533
SoFiA,11490.2890132085
SoFiA,10973.5564649868
SoFiA,11560.988163494
SoFiA,11447.441491044
SoFiA,11437.6081525009
SoFiA,11370.4463869328
SoFiA,11430.8267580516
SoFiA,11419.6426282082
SoFiA,11363.4222721718
SoFiA,11238.419201007
SoFiA,11394.0852346863
SoFiA,11379.4143747993
SoFiA,11381.2801552827
SoFiA,11380.0644431125
SoFiA,11315.3341018848
SoFiA,11315.1167089099
SoFiA,11326.4633558316
SoFiA,11291.1000617147
SoFiA,11297.1258572804
SoFiA,11306.7966787453
SoFiA,11301.043152051
SoFiA,11300.9882761544
SoFiA,11267.1382904161
SoFiA,11245.930867003
SoFiA,11294.7746361735
SoFiA,11247.3618615366
SoFiA,11266.6233012328
SoFiA,11262.2754417354
SoFiA,11240.0401505673
SoFiA,11249.2255314086
SoFiA,11252.197272269
SoFiA,11247.5518165632
SoFiA,11243.4445667661
SoFiA,11241.4985830492
SoFiA,11234.5293441847
SoFiA,11241.8784931024
SoFiA,11243.6598491295
SoFiA,11196.7071877793
SoFiA,11078.3229939855
SoFiA,10967.5855453176
SoFiA,11063.6268067616
SoFiA,11066.7610647003
SoFiA,10894.912973367
SoFiA,11067.3288191687
SoFiA,11072.4343881612
SoFiA,10969.3964499045
SoFiA,10880.2442240915
SoFiA,10879.7566728566
SoFiA,10836.5587891986
SoFiA,10864.7903273726
SoFiA,10807.0313356208
SoFiA,10698.3728391884
SoFiA,10801.8160148352
SoFiA,10768.8567071104
SoFiA,10712.6384616854
SoFiA,10675.1392288251
SoFiA,10656.2830265189
SoFiA,10676.6525372036
SoFiA,10461.0662456922
SoFiA,10601.1158655743
SoFiA,10595.6599350883
SoFiA,10600.8457073142
SoFiA,10558.6482534629
SoFiA,10573.7222401286
SoFiA,10564.4017801572
SoFiA,10556.1893911743
SoFiA,10561.0796778033
SoFiA,10489.6228180229
SoFiA,10503.7512507784
SoFiA,10498.158130551
SoFiA,10444.8018741933
SoFiA,10468.738318155
SoFiA,10444.343871518
SoFiA,10419.4344356979
SoFiA,10451.6381445391
SoFiA,10376.7768685599
SoFiA,10352.4900631047
SoFiA,10268.0656068424
SoFiA,10270.1719970261
SoFiA,10258.4475506627
SoFiA,10278.384386009
SoFiA,10150.3040434135
SoFiA,10256.746397869
SoFiA,10169.0251665897
SoFiA,10173.7254981921
SoFiA,10159.13695215
SoFiA,10144.9536434979
SoFiA,10070.7424358319
SoFiA,9874.01234662674
SoFiA,10072.4435886256
SoFiA,10072.2810715473
SoFiA,10054.5329402296
SoFiA,10024.8155316253
SoFiA,9988.50457298684
SoFiA,10040.1048006543
SoFiA,10017.6816650711
SoFiA,10016.871190291
SoFiA,9927.17864795794
SoFiA,9932.85197141876
SoFiA,9966.5415506902
SoFiA,9929.66494819485
SoFiA,9876.90388425374
SoFiA,9823.41254876595
SoFiA,9804.47403261492
SoFiA,9785.26535820384
SoFiA,9741.03960679084
SoFiA,9660.88491740402
SoFiA,9780.21255449654
SoFiA,9705.48846825879
SoFiA,9729.20751924566
SoFiA,9627.49293434086
SoFiA,9491.52312630764
SoFiA,9580.8906344841
SoFiA,9623.03532305022
SoFiA,9595.47918052621
SoFiA,9536.39472481105
SoFiA,9498.65488225041
SoFiA,9425.98231029981
SoFiA,9401.26282950624
SoFiA,9323.07945117312
SoFiA,9213.36775964888
SoFiA,9216.66242405451
SoFiA,9165.06219638701
SoFiA,9197.77878380006
SoFiA,9131.07713151864
SoFiA,9111.73337797751
SoFiA,9099.79364925065
SoFiA,9118.73005479028
SoFiA,9003.53499483177
SoFiA,8926.3246083571
