name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J1941+2002,19:41:38,20:02:28,56.4,-1.5,1.3,0.4,4585,9,123.0,19,159.0,28,65.4,9.1,a,295.4083333333333,20.04111111111111
J2020+2700,20:20:12,27:00:29,67.0,-5.3,1.3,0.4,1845,5,107.0,10,118.0,14,24.3,8.3,a,305.05,27.008055555555554
J2030+2011,20:30:30,20:11:51,62.7,-11.1,1.3,0.3,3649,7,89.0,13,137.0,20,52.1,8.9,a,307.625,20.1975
J2047+2225,20:47:18,22:25:58,66.8,-13.0,1.3,0.2,4394,4,91.0,9,118.0,13,59.7,9.0,a,311.82500000000005,22.432777777777776
J2047+2452,20:47:28,24:52:36,68.9,-11.5,1.3,0.3,4295,4,89.0,8,108.0,12,60.8,9.1,a,311.8666666666667,24.87666666666667
J1900+2847,19:00:31,28:47:23,59.8,10.9,1.3*,1.0,1931,10,130.0,20,137.0,30,27.7,8.4,a,285.12916666666666,28.789722222222224
J1934+3433,19:34:04,34:33:31,68.3,7.1,1.3*,0.6,4535,12,96.0,24,155.0,36,62.6,9.1,a,293.51666666666665,34.55861111111111
J2022+3123,20:22:45,31:23:05,70.9,-3.3,1.3*,0.8,1164,7,96.0,13,103.0,20,12.5,7.7,a,305.6875,31.384722222222223
J1843+1501,18:43:02,15:01:35,45.5,8.6,1.4,0.3,4260,2,38.0,5,53.0,7,57.9,9.1,a,280.7583333333334,15.02638888888889
J1903+2213,19:03:29,22:13:32,54.1,7.4,1.4,0.4,7771,8,147.0,16,184.0,24,109.8,9.6,a,285.87083333333334,22.225555555555555
J1920+1244,19:20:08,12:44:12,47.5,-0.4,1.4,0.4,5191,4,126.0,8,135.0,12,72.7,9.2,a,290.0333333333333,12.736666666666666
J1922+2434,19:22:17,24:34:54,58.2,4.7,1.4,0.3,7178,7,220.0,15,265.0,22,102.3,9.5,a,290.5708333333333,24.581666666666667
J2002+1248,20:02:34,12:48:41,52.7,-9.4,1.4,0.3,4503,7,80.0,14,128.0,21,61.4,9.1,a,300.6416666666667,12.811388888888889
J1803+0722,18:03:49,07:22:03,34.2,13.9,1.4*,0.6,1805,12,69.0,25,126.0,37,26.1,8.4,a,270.95416666666665,7.3675
J1857+3636,18:57:46,36:36:15,66.9,14.6,1.4*,1.2,2866,21,118.0,42,152.0,62,42.5,8.8,a,284.44166666666666,36.604166666666664
J1859+3054,18:59:9,30:54:55,61.7,12.0,1.4*,0.7,7139,10,114.0,21,137.0,31,98.6,9.5,a,284.78749999999997,30.915277777777778
J1940+0041,19:40:25,00:41:31,39.2,-10.6,1.4*,0.7,1287,16,63.0,31,129.0,47,16.6,8.0,a,295.10416666666663,0.6919444444444445
J2021+3117,20:21:33,31:17:29,70.7,-3.1,1.4*,0.7,4066,7,176.0,15,188.0,22,53.8,9.0,a,305.38750000000005,31.29138888888889
J1825+1509,18:25:35,15:09:49,43.7,12.5,1.5,0.3,6878,5,167.0,9,191.0,14,97.3,9.5,a,276.3958333333333,15.163611111111113
J1830+1150,18:30:35,11:50:36,41.2,9.9,1.5,0.3,2478,2,106.0,5,113.0,7,36.8,8.7,a,277.64583333333337,11.843333333333334
J1843+2011,18:43:51,20:11:01,50.3,10.7,1.5,0.3,5115,7,140.0,14,193.0,21,73.1,9.3,a,280.9625,20.183611111111112
J1852+2255,18:52:54,22:55:39,53.7,9.9,1.5,0.4,4172,7,168.0,14,200.0,21,60.7,9.1,a,283.225,22.9275
J2018+1617,20:18:38,16:17:37,57.8,-10.9,1.5,0.3,4354,4,180.0,8,194.0,12,61.9,9.1,a,304.65833333333336,16.29361111111111
J2023+1222,20:23:58,12:22:36,55.1,-14.1,1.5,0.4,4535,10,168.0,19,231.0,29,64.6,9.2,a,305.9916666666667,12.376666666666667
J1953+3217,19:53:03,32:17:18,68.3,2.5,1.5*,0.7,4491,12,74.0,23,114.0,35,66.8,9.2,a,298.2625,32.288333333333334
J1851+1954,18:51:40,19:54:14,50.8,8.9,1.6,0.3,3988,8,117.0,15,170.0,23,55.1,9.1,a,282.9166666666667,19.90388888888889
J1854+1934,18:54:46,19:34:28,50.8,8.1,1.6,0.3,4097,5,117.0,10,140.0,15,58.0,9.1,a,283.69166666666666,19.574444444444445
J1857+2559,18:57:53,25:59:34,57.0,10.2,1.6,0.3,4330,4,81.0,8,110.0,12,60.5,9.1,a,284.4708333333333,25.99277777777778
J1923+2335,19:23:48,23:35:08,57.5,3.9,1.6,0.3,7912,4,80.0,8,106.0,12,110.4,9.7,a,290.95000000000005,23.585555555555555
J1935+1212,19:35:14,12:12:50,48.8,-3.9,1.6,0.4,7358,6,128.0,12,158.0,18,108.1,9.7,a,293.8083333333334,12.213888888888889
J1958+1608,19:58:36,16:08:37,55.1,-6.9,1.6,0.4,5725,7,217.0,14,238.0,20,78.3,9.4,a,299.65,16.14361111111111
J2003+2515,20:03:29,25:15:07,63.5,-3.1,1.6,0.4,3048,5,125.0,11,145.0,16,41.0,8.8,a,300.8708333333333,25.251944444444444
J2025+1223,20:25:08,12:23:49,55.3,-14.3,1.6,0.4,5557,5,104.0,10,123.0,14,80.2,9.4,a,306.28333333333336,12.396944444444445
J2054+2555,20:54:30,25:55:57,70.7,-12.1,1.6,0.4,6911,3,263.0,7,269.0,10,102.6,9.6,a,313.625,25.9325
J1847+0402,18:47:16,04:02:31,36.1,2.8,1.6*,0.8,2763,8,173.0,16,185.0,24,43.4,8.9,a,281.81666666666666,4.041944444444445
J2136+3541,21:36:33,35:41:48,84.3,-12.2,1.6*,1.0,4709,17,115.0,34,152.0,51,69.2,9.3,a,324.1375,35.696666666666665
J1844+2515,18:44:14,25:15:26,55.0,12.7,1.7,0.4,4637,6,203.0,13,226.0,19,62.0,9.2,a,281.05833333333334,25.25722222222222
J1901+2820,19:01:52,28:20:01,59.5,10.4,1.7,0.4,3921,4,133.0,8,146.0,11,55.7,9.1,a,285.4666666666667,28.33361111111111
J1903+2421,19:03:48,24:21:15,56.1,8.3,1.7,0.3,4436,4,267.0,8,281.0,12,64.2,9.2,a,285.95,24.354166666666668
J1917+2354,19:17:60,23:54:48,57.2,5.2,1.7,0.4,8110,6,156.0,11,186.0,17,117.0,9.8,a,289.5,23.913333333333334
J1928+1956,19:28:36,19:56:54,54.8,1.2,1.7,0.4,7042,5,230.0,10,249.0,15,99.0,9.6,a,292.15,19.948333333333334
J1930+1449,19:30:12,14:49:13,50.5,-1.6,1.7,0.4,9125,9,123.0,17,184.0,26,130.3,9.8,a,292.54999999999995,14.820277777777777
J1932+0826,19:32:56,08:26:23,45.2,-5.3,1.7,0.4,7573,7,146.0,15,187.0,22,110.3,9.7,a,293.23333333333335,8.439722222222223
J2004+1244,20:04:36,12:44:42,52.9,-9.9,1.7,0.4,4453,10,387.0,20,432.0,29,61.6,9.2,a,301.15000000000003,12.745
J1743+0724,17:43:01,07:24:39,31.8,18.6,1.7*,0.6,9100,5,56.0,10,70.0,15,131.6,9.8,a,265.75416666666666,7.410833333333333
